daypart,orders,quantity_sold,revenue,discount,active_days,avg_order_value,avg_daily_revenue,revenue_share_pct
Afternoon,233,336,1058.44,10.43,101,4.542660944206009,10.479603960396041,9.104147546299602
Breakfast,316,376,1285.3,14.95,116,4.067405063291139,11.080172413793104,11.055478667906426
Dinner,430,533,3863.07,44.41,119,8.983883720930233,32.4627731092437,33.22810859537017
Late Night,106,134,556.13,6.0,71,5.246509433962264,7.83281690140845,4.783539525078037
Lunch,508,650,4362.26,33.25,119,8.58712598425197,36.65764705882353,37.52188000767252
Morning,150,185,500.71,3.9299999999999997,86,3.3380666666666667,5.822209302325581,4.306845657673248
