dayofweek,day_name,orders,units_sold,revenue,discount,active_days,avg_daily_revenue,avg_orders_per_day,avg_order_value
0,Monday,227,286,1465.1100000000001,19.95,17,86.18294117647059,13.352941176470589,6.454229074889868
1,Tuesday,227,295,1546.51,10.51,17,90.97117647058823,13.352941176470589,6.812819383259912
2,Wednesday,283,365,1904.03,15.34,17,112.00176470588235,16.647058823529413,6.728021201413427
3,Thursday,236,303,1550.49,15.530000000000001,17,91.20529411764706,13.882352941176471,6.569872881355932
4,Friday,271,334,1817.06,13.129999999999999,18,100.94777777777777,15.055555555555555,6.705018450184502
5,Saturday,252,313,1719.49,20.72,18,95.52722222222222,14.0,6.823373015873016
6,Sunday,247,318,1623.22,17.79,17,95.4835294117647,14.529411764705882,6.571740890688259
