category,items,orders,quantity_sold,revenue,total_cost,ingredient_cost,gross_profit,profit_margin_pct,food_cost_pct,avg_revenue_per_order
Other,19,770,1011,4135.62,1227.02,15.84,2908.6,70.33044622088103,0.3830139132705616,5.370935064935065
Burger,5,418,503,3697.33,1225.45,9.55,2471.88,66.85581216715846,0.25829449900333484,8.845287081339713
Wrap,3,330,394,2998.25,934.1199999999999,5.54,2064.13,68.8444926206954,0.18477445176352872,9.085606060606061
Sides,1,112,170,492.8,120.7,0.57,372.1,75.5073051948052,0.11566558441558442,4.4
Beverage,2,113,136,301.90999999999997,47.38,0.5700000000000001,254.52999999999997,84.30658143155244,0.18879798615481438,2.6717699115044247
