service_mode,orders,quantity_sold,revenue,discount,active_days,avg_order_value,avg_daily_revenue,revenue_share_pct
Dine-In,527,662,3685.24,34.85,117,6.992865275142314,31.497777777777777,31.69850790174705
Drive-Thru,506,641,3248.43,29.47,120,6.419822134387352,27.07025,27.94129663828466
Takeout,459,591,2919.44,27.44,119,6.360435729847494,24.53310924369748,25.1114966484344
Delivery,235,303,1691.11,20.17,103,7.196212765957446,16.418543689320387,14.546044137620196
Unknown,16,17,81.69,1.04,16,5.105625,5.105625,0.7026546739136978
